Battle,Date,belligerent,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
Battle_of_Amiens_(1918),8–12 August 1918 (major combat),Erich Ludendorff,10 active divisions   4 reserve divisions   365 aircraft[4],R,D,,,,,,
Battle_of_Ammunition_Hill,6-Jun-67,Zaid ibn Shaker,About 150 soldiers,R,D,,,,,,
Battle_of_Ammunition_Hill,6-Jun-67,Uzi Narkiss,Reinforced company,L,V,,,,,,
Battle_of_Anchem,31-Mar-30,Gugsa Welle,"Army of Begemder   10,000[1]   (down from a high of 35,000)[2]",L,D,,,,,,
Battle_of_Anchem,31-Mar-30,Mulugeta Yeggazu,"Army of the Center and about four provincial armies   20,000 [3]   (of a total of 32,000)[2]",R,V,,,,,,
Battle_of_Anguar,17 September–22 October 1944,Sadae Inoue,"1,400[1]:89",R,D,,,,,,
Battle_of_Anholt,27 March 1811,James Wilkes Maurice,"HMS Tartar,   HMS Sheldrake,   Anholt schooner[1]   350 Royal Marine infantrymen   31 Royal Marine Artillerymen[2]",L,V,,,,,,
Battle_of_Anholt,27 March 1811,Jørgen Conrad de Falsen,"18 gunboats,   1,000 infantry",R,D,,,,,,
Battle_of_Annual,22 July – 9 August 1921,Manuel Fernández Silvestre,"Spanish sources:   5,000 (at Annual)   18,011 regulars(reinforcements)   Total: 23,000+   Non-Spanish sources: 20,000[2][3]",R,D,,,,,,
Battle_of_Annual,22 July – 9 August 1921,Abd el-Krim,"3,000 men[1]",L,V,,,,,,
Battle_of_Antietam,"September 17, 1862 (1862-09-17)",George B. McClellan,"87,164[4][5]",L,V,,,,,,
Battle_of_Antietam,"September 17, 1862 (1862-09-17)",Robert E. Lee,"38,000 ""engaged""[5]",R,D,,,,,,
Battle_of_Antrim,7 June 1798,William Lumley,~200 - later reinforced by 500,R,V,,,,,,
Battle_of_Antrim,7 June 1798,Henry Joy McCracken,"~4,000",L,D,,,,,,
Battle_of_Appomattox_Courthouse,"April 9, 1865 (1865-04-09)",Robert E. Lee,"∼ 28,000[1]",R,D,,,,,,
Battle_of_Appomattox_Courthouse,"April 9, 1865 (1865-04-09)",Ulysses S. Grant,"150,000[1]",L,V,,,,,,
Battle_of_Appomattox_Station,"April 8, 1865 (1865-04-08)",Reuben Lindsay Walker,"3,000[1]",R,D,,,,,,
Battle_of_Aquia_Creek,"May 29, 1861 (1861-05-29) – June 1, 1861 (1861-06-01)",Daniel Ruggles,∼ 13 artillery pieces   2 shore batteries,R,I,,,,,,
Battle_of_Aquia_Creek,"May 29, 1861 (1861-05-29) – June 1, 1861 (1861-06-01)",James H. Ward,1 sloop-of-war   3 gunboats,L,I,,,,,,
Battle_of_Arafura_Sea,15-Jan-62,Yos Sudarso,RI Matjan Tutul      RI Matjan Kumbang      RI Harimau,L,V,,,,,,
Battle_of_Arcis-sur-Aube,20–21 March 1814,Peter Wittgenstein,"43,000 rising to 80,000",R,D,,,,,,
Battle_of_Arcis-sur-Aube,20–21 March 1814,Napoleon,"20,000 rising to 28,000",L,V,,,,,,
Battle_of_Arica,7 June 1880,Francisco Bolognesi,"1,628",R,D,,,,,,
Battle_of_Arica,7 June 1880,Pedro Lagos,"5,479[1]",L,V,,,,,,
Battle_of_Arkansas_Post,"January 9 (1863-01-09)–11, 1863 (1863-01-12)",David Dixon Porter,"28,944",L,V,,,,,,
Battle_of_Arkansas_Post,"January 9 (1863-01-09)–11, 1863 (1863-01-12)",Thomas James Churchill,"4,900",R,D,,,,,,
Battle_of_Arklow,9 June 1798,"Francis Needham, 1st Earl of Kilmorey","1,700",R,V,,,,,,
Battle_of_Arnhem,17–26 September 1944,Stanisław Sosabowski,1 reinforced airborne division   1 parachute infantry brigade   RAF Resupply flights   Limited support from XXX Corps in later stages,L,D,,,,,,
Battle_of_Arnhem,17–26 September 1944,Wilhelm Bittrich,*Initially equivalent to:   1 Kampfgruppe   1 armoured division,R,V,,,,,,
Battle_of_Arroyo_dos_Molinos,28 October 1811,"Rowland Hill, 1st Viscount Hill","9,000 British, Portuguese and Spanish",L,V,,,,,,
Battle_of_Asal_Uttar,"September 8–10, 1965",Hanut Singh Rathore,"45 Centurion tanks,   45 M4 Sherman tanks,   8th Light Cavalry (45 AMX-13 tanks)",L,V,,,,,,
Battle_of_Asiago,15 May – 10 June 1916,Franz Conrad von Hötzendorf,"300 battalions   2,000 guns",R,D,,,,,,
Battle_of_Asiago,15 May – 10 June 1916,Pietro Frugoni,172 battalions   850 guns,L,V,,,,,,
Battle_of_Aslanduz,31 October 1812,Abbas Mirza,"10,000 infantry   20,000 irregular cavalry   12 cannons   according to the British: 14[1]",R,D,,,,,,
Battle_of_Aslanduz,31 October 1812,Pyotr Kotlyarevsky,"2,221 soldiers (including 500 Cossacks   6 cannons",L,V,,,,,,
Battle_of_Aspern-Essling,21–22 May 1809,"Archduke Charles, Duke of Teschen","95,800 (First day)   90,800 (Second day)[1]",R,V,,,,,,
Battle_of_Aspern-Essling,21–22 May 1809,Napoleon,"27,000 (First day)   66,000 (Second day)[1]",L,D,,,,,,
Battle_of_Assaye,23 September 1803,Anthony Pohlmann,"10,800 European trained Indian infantry   10,000–20,000 irregular infantry   30,000–40,000 irregular cavalry   100+ cannon",R,D,,,,,,
Battle_of_Assaye,23 September 1803,"Arthur Wellesley, 1st Duke of Wellington","9,500, (including two British infantry regiments and one cavalry regiment)   17 cannon",L,V,,,,,,
Battle_of_Assietta,19 July 1747,Louis Charles Armand Fouquet,32 Battalions [1],L,D,,,,,,
Battle_of_Assietta,19 July 1747,Giovanni Battista Cacherano di Bricherasio,13 Battalions [1],R,V,,,,,,
Battle_of_Athens_(1861),"August 5, 1861 (1861-08-05)",David Moore (military officer),1st Northeast Missouri Home Guard (333-500),L,V,,,,,,
Battle_of_Athens_(1861),"August 5, 1861 (1861-08-05)",Martin E. Green,"II Division Missouri State Guard (~2,000 men plus 3 cannon)",R,D,,,,,,
Battle_of_Athens_(1864),"January 26, 1864",Emil Adams,100,L,V,,,,,,
Battle_of_Athens_(1864),"January 26, 1864",Moses Wright Hannon,600,R,D,,,,,,
Battle_of_Athos,19–22 June 1807,Dmitry Senyavin,10 ships of the line,L,V,,,,,,
Battle_of_Atlanta,"July 22, 1864 (1864-07-22)[1]",James B. McPherson,"34,863[2]",L,V,,,,,,
Battle_of_Atlanta,"July 22, 1864 (1864-07-22)[1]",John Bell Hood,"40,438[2]",R,D,,,,,,
Battle_of_Auburn_I,"October 13, 1863 (1863-10-13)",J. E. B. Stuart,"3,000 [1]",R,I,,,,,,
Battle_of_Auburn_I,"October 13, 1863 (1863-10-13)",William H. French,"2,000 [1]",L,I,,,,,,
Battle_of_Auldearn,"May 9, 1645",John Urry (soldier),"3600 foot,   300 cavalry",R,D,,,,,,
Battle_of_Auldearn,"May 9, 1645",Alasdair Mac Colla,"1300 foot,   250 cavalry",L,V,,,,,,
Battle_of_Austerlitz,2 December 1805,Alexander I of Russia,"73,000-89,400[2]",R,D,,,,,,
Battle_of_Austerlitz,2 December 1805,Napoleon,"65,000-75,000 (including III Corps)[1]",L,V,,,,,,
Battle_of_Averasborough,"March 16, 1865 (1865-03-16)",Henry Warner Slocum,"25,992",L,I,,,,,,
Battle_of_Averasborough,"March 16, 1865 (1865-03-16)",William J. Hardee,"5,400",R,I,,,,,,
Battle_of_Ayohuma,14 November 1813,Manuel Belgrano,3400 soldiers   8 cannons,L,D,,,,,,
Battle_of_Ayohuma,14 November 1813,"Joaquín de la Pezuela, 1st Marquis of Viluma",3500 soldiers   18 cannons,R,V,,,,,,
Battle_of_Bad_Axe,1–2 August 1832,Henry Dodge,"appx. 1,300",R,V,,,,,,
Battle_of_Bad_Axe,1–2 August 1832,Black Hawk (Sauk leader),appx. 500 (including non-combatants),L,D,,,,,,
Battle_of_Badajoz_(1936),14-Aug-36,Ildefonso Puigdendolas,"6,000   4,000[1]   2,000 militiamen, 500 soldiers[2]   up 2,000[3]   some bombers[4]",L,D,,,,,,
Battle_of_Badajoz_(1936),14-Aug-36,Carlos Asensio Cabanillas,"3,000 regulars   30 guns   at least four bombers[5][6]",R,V,,,,,,
Battle_of_Badung_Strait,18–20 February 1942,Kyuji Kubo,"4 destroyers,   2 transports",R,V,,,,,,
Battle_of_Badung_Strait,18–20 February 1942,Karel Doorman,"Sea:   3 cruisers,   7 destroyers,   2 submarines   Air:   20 aircraft",L,D,,,,,,
Battle_of_Bailén,16–19 July 1808,Theodor von Reding,"27,110 regulars and militia[3]   2,660 cavalry[3]   25 guns[3]",R,V,,,,,,
Battle_of_Bailén,16–19 July 1808,Pierre Dupont de l'Étang,"21,130 regulars[1][2]   3,300 cavalry[1]   24 guns",L,D,,,,,,
Battle_of_Baku,26 August 1918 – 14 September 1918[1],Mürsel Bakû,"[1]Islamic Army of the Caucasus   14,000 infantry   500 cavalry   40 guns[1]",L,V,,,,,,
Battle_of_Baku,26 August 1918 – 14 September 1918[1],Grigory Korganov,"6,000 regulars    Baku Army   6,000[1]to 9,151 infantry.[4]   40 guns[1]    Dunsterforce   1,000 infantry   1 artillery battery   1 machine gun section   3 armored cars   2 Martinsyde G.100 planes[1]    Bicherakhov detachment   600[1]",R,D,,,,,,
Battle_of_Balaclava,25 October 1854 (1854-10-25),Pavel Liprandi,"25,000[1]   78 guns",R,I,,,,,,
Battle_of_Balaclava,25 October 1854 (1854-10-25),François Certain Canrobert,"20,000 British, 41 guns   7,000 French   1,000 Turkish",L,I,,,,,,
Battle_of_Ball's_Bluff,"October 21, 1861",Edward Dickinson Baker,"1,720",L,D,,,,,,
Battle_of_Ball's_Bluff,"October 21, 1861",Nathan George Evans,"1,709",R,V,,,,,,
Battle_of_Ballinamuck,8 September 1798,Jean Joseph Amable Humbert,"~2,350",L,D,,,,,,
Battle_of_Ballinamuck,8 September 1798,"Gerard Lake, 1st Viscount Lake","~26,000",R,V,,,,,,
Battle_of_Ballyellis,30 June 1798,Joseph Holt (rebel),"~1,000 (including civilians)",L,V,,,,,,
Battle_of_Baltimore,"September 12–15, 1814",Samuel Smith (Maryland),"North Point:   2,000   infantry,   militia   Fort McHenry:   1,000   infantry,   militia,   20 artillery pieces[2]   Additional Defense:   8,000 militia   150 artillery pieces   Total:   11,000",L,V,,,,,,
Battle_of_Baltimore,"September 12–15, 1814",Robert Ross (British Army officer),"Land:   5,000 infantry   Sea:   19 warships[3]",R,D,,,,,,
Battle_of_Bang_Bo_(Zhennan_Pass),24 March 1885,Oscar de Négrier,"1,500 men   10 guns",L,D,,,,,,
Battle_of_Bang_Bo_(Zhennan_Pass),24 March 1885,Feng Zicai,"At Zhennan Pass: Maximum of 4,000 men of the Black Flags, under 4,000 for government troops   French claim:   40,000 men",R,V,,,,,,
Battle_of_Bantry_Bay,11 May 1689[1],"François Louis de Rousselet, Marquis de Châteaurenault",24 ships[3],L,V,,,,,,
Battle_of_Bantry_Bay,11 May 1689[1],"Arthur Herbert, 1st Earl of Torrington",19 ships[4],R,D,,,,,,
Battle_of_Bar-sur-Aube,27 February 1814,"Karl Philipp, Prince of Schwarzenberg","30,000, 70 guns",R,V,,,,,,
Battle_of_Bar-sur-Aube,27 February 1814,Jacques MacDonald,"30,000, 60 guns",L,D,,,,,,
Battle_of_Barrosa,5 March 1811,"Thomas Graham, 1st Baron Lynedoch","5,200 British and Portuguese   c. 10,000 Spanish",L,V,,,,,,
Battle_of_Barrosa,5 March 1811,"Claude Victor-Perrin, Duc de Belluno","10,160",R,D,,,,,,
Battle_of_Basantar,"December 4–11, 1971",Arun Shridhar Vaidya,3 infantry divisions   2 armoured brigades[1],L,V,,,,,,
Battle_of_Basantar,"December 4–11, 1971",Abdul Ali Malik,3 infantry divisions   1 armoured division   1 armoured brigade[1],R,D,,,,,,
Battle_of_Bassano,8 September 1796,Dagobert Sigmund von Wurmser,"11,000",R,D,,,,,,
Battle_of_Bataan,"7 January – 9 April 1942
(3 months and 2 days)",Douglas MacArthur,"120,000 U.S. and Filipino troops",L,D,,,,,,
Battle_of_Bataan,"7 January – 9 April 1942
(3 months and 2 days)",Kineo Kitajima,"75,000 Japanese troops",R,V,,,,,,
Battle_of_Batoche,"May 9–12, 1885",Frederick Dobson Middleton,916 regulars and militia,R,V,,,,,,
Battle_of_Batoche,"May 9–12, 1885",Gabriel Dumont (Métis leader),250 (Métis) rebels,L,D,,,,,,
Battle_of_Baton_Rouge_(1779),"September 12–21, 1779",Bernardo de Gálvez,398 regulars   400 militia,L,V,,,,,,
Battle_of_Baton_Rouge_(1779),"September 12–21, 1779",Alexander Dickson (American War of Independence),400 regulars   150 militia,R,D,,,,,,
Battle_of_Bautzen,20–21 May 1813,Napoleon,"115,000[1][not in citation given] to 200,000[2]",L,V,,,,,,
Battle_of_Bautzen,20–21 May 1813,Peter Wittgenstein,"96,000[1][2]",R,D,,,,,,
Battle_of_Baxter_Springs,"October 6, 1863 (1863-10-06)",James Pond (Medal of Honor),96 infantry   200 cavalry   1 mountain howitzer[2],R,V,,,,,,
Battle_of_Baxter_Springs,"October 6, 1863 (1863-10-06)",William T. Anderson,400 mounted guerrillas,L,D,,,,,,
Battle_of_Bayou_Fourche,"September 10, 1863",Brigadier general (United States),"6,000 cavalry,   18 guns",L,,,,,,,
Battle_of_Bayou_Fourche,"September 10, 1863",Colonel,"2,500 cavalry,   8 guns",R,,,,,,,
Battle_of_Bazentin_Ridge,14–17 July 1916,Fritz von Below,3 divisions,R,D,,,,,,
Battle_of_Bazentin_Ridge,14–17 July 1916,"Henry Rawlinson, 1st Baron Rawlinson",5 divisions,L,V,,,,,,
Battle_of_Beachy_Head_(1690),10 July 1690[1],Anne Hilarion de Tourville,75 ships[3],L,V,,,,,,
Battle_of_Beachy_Head_(1690),10 July 1690[1],Ralph Delaval,56 ships[4],R,D,,,,,,
Battle_of_Bear_Paw,"September 30-October 5, 1877",Looking Glass (Native American leader),700   <200 warriors,R,D,,,,,,
Battle_of_Bear_Paw,"September 30-October 5, 1877",Oliver Otis Howard,520,L,V,,,,,,
Battle_of_Beauport,31 July 1759,James Wolfe,"4,000 regulars",L,D,,,,,,
Battle_of_Beauport,31 July 1759,Louis-Joseph de Montcalm,"~10,000 regulars and militia",R,V,,,,,,
Battle_of_Beaver_Dam_Creek,"June 26, 1862 (1862-06-26)",Fitz John Porter,"15,631[1]",L,V,,,,,,
Battle_of_Beaver_Dam_Creek,"June 26, 1862 (1862-06-26)",Robert E. Lee,"16,356[1]",R,D,,,,,,
Battle_of_Beersheba_(1917),31-Oct-17,"Edmund Allenby, 1st Viscount Allenby","47,500 rifles, 15,000 troopers",L,V,,,,,,
Battle_of_Beersheba_(1917),31-Oct-17,Fevzi Çakmak,"4,400 rifles, 60 machine guns, 28 field guns",R,D,,,,,,
Battle_of_Beiping-Tianjin,Early July–early August 1937,Kanichiro Tashiro,"180,000+[1]",L,V,,,,,,
Battle_of_Beiping-Tianjin,Early July–early August 1937,Song Zheyuan,"~46,000",R,D,,,,,,
Battle_of_Belleau_Wood,1–26 June 1918,"Wilhelm, German Crown Prince",5 German divisions (elements),R,D,,,,,,
Battle_of_Belleau_Wood,1–26 June 1918,James Harbord,2 U.S. Army divisions (including 1 brigade of United States Marines)   French 6th Army (elements)   British IX Corps (elements),L,V,,,,,,
Battle_of_Belmont,"November 7, 1861 (1861-11-07)",Leonidas Polk,"∼ 5,000",R,D,,,,,,
Battle_of_Belmont,"November 7, 1861 (1861-11-07)",Ulysses S. Grant,"3,114",L,V,,,,,,
Battle_of_Benburb,5 June 1646,Robert Monro,"6,000[1]",R,D,,,,,,
Battle_of_Bennington,"August 16, 1777",Heinrich von Breymann,800 (Baum)[3]   550–650 (Breymann)[4][5],R,D,,,,,,
Battle_of_Bennington,"August 16, 1777",Seth Warner,"2,000 (Stark)[1]   350 (Warner)[2]",L,V,,,,,,
Battle_of_Bentonville,"March 19, 1865 (1865-03-19) – March 21, 1865 (1865-03-21)",Joseph E. Johnston,"21,900[2]",R,D,,,,,,
Battle_of_Berea,20-21 December 1852,George Cathcart,Approx. 1000 British Army troops,L,I,,,,,,
Battle_of_Berestechko,28 June – 30 June 1651,Marcin Kalinowski,"80,000 total[3]   17,000 cavalry   16,000 infantry   40,000 Pospolite ruszenie",R,V,,,,,,
Battle_of_Berestechko,28 June – 30 June 1651,Ivan Bohun,"200,000 total[2]   100,000 Cossacks and peasants   50,000 Crimean Tatars   Several thousands Turks, and Vlachs",L,D,,,,,,
Battle_of_Berezina,26–29 November 1812,Michel Ney,"49,000 combatants,   40,000 stragglers.[3]",L,D,,,,,,
Battle_of_Berezina,26–29 November 1812,Pavel Chichagov,"64,000 combatants,   Chichagov: 34,000;   Wittgenstein: 30,000.[3]",R,V,,,,,,
Battle_of_Bergen_(1759),13 April 1759,"Victor-François, 2nd duc de Broglie","ca 28,000 men",R,V,,,,,,
Battle_of_Bergen_(1759),13 April 1759,Duke Ferdinand of Brunswick-Wolfenbüttel,"ca 35,000 men",L,D,,,,,,
Battle_of_Berlin,16 April – 2 May 1945,Ferdinand Schörner,"Total strength:   36 divisions[6]   766,750 soldiers[7]   1,519 AFVs[8]   2,224 aircraft[9]   9,303 artillery pieces[7][c]   In the Berlin Defence Area: about 45,000 soldiers, supplemented by the police force, Hitler Youth, and 40,000 Volkssturm[5][d]",R,D,,,,,,
Battle_of_Berlin,16 April – 2 May 1945,Georgy Zhukov,"Total strength:      2,500,000 soldiers (155,900 – c.200,000 Polish People's Army)[1][2]         6,250 tanks and SP guns[2]   7,500 aircraft[2]   41,600 artillery pieces.[3][4]   For the investment and assault on the Berlin Defence Area: about 1,500,000 soldiers[5]",L,V,,,,,,
Battle_of_Bernetz_Brook,"July 6–8, 1758","James Abercrombie (British Army officer, born 1706)","6,000 regulars   12,000 provincial troops, rangers, and Indians[2]",R,D,,,,,,
Battle_of_Bernetz_Brook,"July 6–8, 1758",François Gaston de Lévis,"3,600 regulars, militia, and Indians",L,V,,,,,,
Battle_of_Bessang_Pass,1–15 June 1945,Tomoyuki Yamashita,"73rd and 76th Infantry, Japanese 14th Area Army   ~ 2,250 Japanese troops",R,D,,,,,,
Battle_of_Bessang_Pass,1–15 June 1945,Walter Krueger,"United States Army Forces in the Philippines - Northern Luzon ~ 9,000 Filipino troops   Philippine Commonwealth Army   Philippine Constabulary ~ 12,500 Filipino troops",L,V,,,,,,
Battle_of_Białołęka,24–25 February 1831,Jan Krukowiecki,"13,000 men, 22 cannons",L,V,,,,,,
Battle_of_Białołęka,24–25 February 1831,Ivan Shakhovskiy,"11,000 men, 56 cannons",R,D,,,,,,
Battle_of_Białystok-Minsk,22 June–3 July 1941,Dmitry Pavlov (general),"675,000",R,D,,,,,,
Battle_of_Białystok-Minsk,22 June–3 July 1941,Fedor von Bock,"750,000",L,V,,,,,,
Battle_of_Big_Bethel,"June 10, 1861 (1861-06-10)",Daniel Harvey Hill,"1,400",R,V,,,,,,
Battle_of_Big_Black_River_Bridge,"May 17, 1863 (1863-05-17)",John S. Bowen,"5,000[1]",R,D,,,,,,
Battle_of_Big_Mound,"July 24, 1863",Inkpaduta,"1,000-1,500",R,D,,,,,,
Battle_of_Big_Mound,"July 24, 1863",Henry Hastings Sibley,"2,056 soldiers   60 mixed-blood and Sioux scouts",L,V,,,,,,
Battle_of_Big_Sandy_Creek,"May 29–30, 1814",Melancthon Taylor Woolsey,250 regulars   125 Indians,R,V,,,,,,
Battle_of_Binakayan-Dalahican,"November 9–11, 1896",Pascual Álvarez,"112,000[2][note 1]      35,000 regulars[3]   60,000+ irregulars, militia and voluntary civilians",L,V,,,,,,
Battle_of_Binakayan-Dalahican,"November 9–11, 1896",Diego de los Ríos,"16,000-20,000[note 1]   At Binakayan   12,000-15,000      5,000-5,200 Spanish Troops   1,600-1,612 Spanish Marines[4]   2 companies from 73rd Regiment   1 company of artillery   60 military engineers   2 naval warships   4 gunboats[5]   10,000+ native mercenaries and loyalists         At Dalahican   3,000-5,000      1,500[4]-3,500[6] from the 4th Battalion of Cazadores   4 large guns   3 bronze mortars   Several contingents from 73rd Native Regiment[6]",R,D,,,,,,
Battle_of_Bir_Hakeim,26 May – 11 June 1942,Erwin Rommel,"37,000 Axis troops",R,D,,,,,,
Battle_of_Bir_Hakeim,26 May – 11 June 1942,Marie-Pierre Kœnig,"3,703 men",L,V,,,,,,
Battle_of_Bitonto,25 May 1734,Prince of Belmonte,"8,000 infantry   2,500 cavalry",R,D,,,,,,
Battle_of_Bitonto,25 May 1734,"José Carrillo de Albornoz, 1st Duke of Montemar","14,000 infantry and cavalry",L,V,,,,,,
Battle_of_Bizani,"March, 4–6 [O.S. February, 19–21] 1913",Mehmet Esat Bülkat,"4 infantry divisions:   35,000 soldiers   Unknown number of irregulars   162 guns",R,D,,,,,,
Battle_of_Bizani,"March, 4–6 [O.S. February, 19–21] 1913",Constantine I of Greece,"4 infantry divisions, 1 cavalry brigade and 1 cavalry regiment:   41,000 soldiers   105 guns",L,V,,,,,,
Battle_of_Blaauwberg,8–18 January 1806,"Sir David Baird, 1st Baronet","5,399",L,V,,,,,,
Battle_of_Blaauwberg,8–18 January 1806,Jan Willem Janssens,"2,049",R,D,,,,,,
Battle_of_Blackburn's_Ford,"July 18, 1861 (1861-07-18)",James Longstreet,"5,100[3]",R,V,,,,,,
Battle_of_Blackett_Strait,6-Mar-43,Masao Tachibana,2 destroyers,R,D,,,,,,
Battle_of_Blackett_Strait,6-Mar-43,Aaron S. Merrill,"3 cruisers,   3 destroyers",L,V,,,,,,
Battle_of_Bladensburg,24 August 1814,James Madison,"6,500 militia   420 Marines and regulars   18 guns",L,D,,,,,,
Battle_of_Bladensburg,24 August 1814,Robert Ross (British Army officer),"4,500 Marines & regulars   3 guns   60 rocket launchers",R,V,,,,,,
Battle_of_Blenheim,13 August 1704[1],Prince Eugene of Savoy,"52,000 men,[5]   66 guns",L,V,,,,,,
Battle_of_Blenheim,13 August 1704[1],"Maximilian II Emanuel, Elector of Bavaria","56,000 men,   90 guns",R,D,,,,,,
Battle_of_Blood_River,16 December 1838,Andries Pretorius,464 Pioneers + 200 servants   a 6lb carronade and a 4lb cannon,L,V,,,,,,
Battle_of_Blood_River,16 December 1838,Ndlela kaSompisi,"12,000–21,000 men (not recorded)",R,D,,,,,,
Battle_of_Blue_Licks,"August 19, 1782",Robert Patterson (pioneer),182 militia,L,D,,,,,,
Battle_of_Blue_Licks,"August 19, 1782",William Caldwell (ranger),"300 Indians,   50 rangers",R,V,,,,,,
Battle_of_Bobruysk_(1918),"February 2 – March 11, 1918",Józef Dowbor-Muśnicki,"30,000 soldiers",R,V,,,,,,
Battle_of_Bolivar_Heights,"October 16, 1861",John W. Geary,100 troops[1],L,V,,,,,,
Battle_of_Bolivar_Heights,"October 16, 1861",Turner Ashby,app. 700 troops[1],R,D,,,,,,
Battle_of_Boomplaats,29 August 1848,Andries Pretorius,300-500,R,D,,,,,,
Battle_of_Boomplaats,29 August 1848,"Sir Harry Smith, 1st Baronet",1200,L,V,,,,,,
Battle_of_Boonsboro,"July 8, 1863",Alfred Pleasonton,Divisions,L,I,,,,,,
