,Battle,Date,Location,Result,belligerent,opp,own,pos,Infantry,Cavalry,Artillery,Ships,Airforce,Special,VorD
415,Battle_of_Philippi_Races,"June 3, 1861 (1861-06-03)","Barbour County, Virginia (now West Virginia)
39°09′11″N 80°02′34″W﻿ / ﻿39.15316°N 80.04278°W﻿ / 39.15316; -80.04278Coordinates: 39°09′11″N 80°02′34″W﻿ / ﻿39.15316°N 80.04278°W﻿ / 39.15316; -80.04278",Union victory,George A. Porterfield,"3,000",800,R,,,,,,,D
416,Battle_of_Big_Bethel,"June 10, 1861 (1861-06-10)","Tabb and Hampton, Virginia",Confederate victory,Benjamin Butler,"1,400","3,500",L,,,,,,,D
417,Battle_of_Rich_Mountain,"July 11, 1861","Randolph County, Virginia (now West Virginia)
38°51′58″N 79°56′02″W﻿ / ﻿38.86611°N 79.93389°W﻿ / 38.86611; -79.93389Coordinates: 38°51′58″N 79°56′02″W﻿ / ﻿38.86611°N 79.93389°W﻿ / 38.86611; -79.93389",Union victory,George B. McClellan,"1,300","7,000",L,,,,,,,V
418,Battle_of_Blackburn's_Ford,"July 18, 1861 (1861-07-18)","Prince William County and Fairfax County, Virginia",Confederate victory,Irvin McDowell,"5,100[3]","3,000[3]",L,,,,,,,D
419,Battle_of_Dry_Wood_Creek,"September 2, 1861 (1861-09-02)","Vernon County, Missouri",Missouri State Guard victory,Sterling Price,600 [1],Unknown,R,,,,,,,V
420,Battle_of_Cheat_Mountain,"September 12–15, 1861","Pocahontas and Randolph Counties, Virginia (now West Virginia)
38°37′17″N 79°52′50″W﻿ / ﻿38.62139°N 79.88056°W﻿ / 38.62139; -79.88056Coordinates: 38°37′17″N 79°52′50″W﻿ / ﻿38.62139°N 79.88056°W﻿ / 38.62139; -79.88056",Union victory,Robert E. Lee,"3,000[1]","5,000[1]",R,,,,,,,D
421,Battle_of_Liberty,"September 17, 1861 (1861-09-17)","Clay County, Missouri",Missouri State Guard victory,David Rice Atchison,600 [1],"3,500",R,,,,,,,D
422,Battle_of_Greenbrier_River,"October 3, 1861 (1861-10-03)","Pocahontas County, Virginia (now West Virginia)
38°32′03″N 79°46′04″W﻿ / ﻿38.53417°N 79.76778°W﻿ / 38.53417; -79.76778﻿ (Battle of Greenbrier River)Coordinates: 38°32′03″N 79°46′04″W﻿ / ﻿38.53417°N 79.76778°W﻿ / 38.53417; -79.76778﻿ (Battle of Greenbrier River)",Inconclusive,Joseph J. Reynolds,"1,800","5,000",L,,,,,,,I
423,Battle_of_Santa_Rosa_Island,"October 9, 1861 (1861-10-09)",Santa Rosa Island (Florida),Union victory,Harvey Brown (officer),"1,200",600,L,,,,,,,V
424,Battle_of_Santa_Rosa_Island,"October 9, 1861 (1861-10-09)",Santa Rosa Island (Florida),Union victory,Richard H. Anderson,600,"1,200",R,,,,,,,D
425,Battle_of_Round_Mountain,"November 19, 1861 (1861-11-19)","Location disputed, near Keystone, or Yale, Oklahoma",Confederate victory,Opothleyahola,"1,400 men",Unknown,L,,,,,,,D
426,Battle_of_Dranesville,"December 20, 1861 (1861-12-20)","Fairfax County, Virginia",Union victory,Edward Ord,"4,000 [1]","5,000 [1]",L,,,,,,,V
427,Battle_of_Dranesville,"December 20, 1861 (1861-12-20)","Fairfax County, Virginia",Union victory,J. E. B. Stuart,"5,000 [1]","4,000 [1]",R,,,,,,,D
428,Battle_of_Mount_Zion_Church,"December 28, 1861 (1861-12-28)","Boone County, Missouri",Union victory,Benjamin Prentiss,~900,440,L,,,,,,,V
429,Battle_of_Roan's_Tan_Yard,"January 8, 1862 (1862-01-08)","Randolph County, Missouri",Union victory,John A. Poindexter,450,800,R,,,,,,,D
430,Battle_of_Middle_Creek,"January 10, 1862 (1862-01-10)","Floyd County, Kentucky",Union victory,James A. Garfield,"2,500","2,100",L,,,,,,,V
431,Battle_of_Middle_Creek,"January 10, 1862 (1862-01-10)","Floyd County, Kentucky",Union victory,Humphrey Marshall (general),"2,100","2,500",R,,,,,,,D
432,Battle_of_Roanoke_Island,"February 7, 1862 (1862-02-07)– February 8, 1862 (1862-02-08)","Roanoke Island and Croatan Sound, North Carolina",Union victory,Ambrose Burnside,"3,000","10,000",L,,,,,,,V
433,Battle_of_Roanoke_Island,"February 7, 1862 (1862-02-07)– February 8, 1862 (1862-02-08)","Roanoke Island and Croatan Sound, North Carolina",Union victory,Henry A. Wise,"10,000","3,000",R,,,,,,,D
434,Battle_of_Valverde,"February 20–21, 1862","Valverde, New Mexico Territory (USA)
Arizona Territory (CSA)
Present Day: New Mexico",Confederate States victory,Edward Canby,"2,590[2]","3,000 [1]",L,,,,,,,D
435,Battle_of_Valverde,"February 20–21, 1862","Valverde, New Mexico Territory (USA)
Arizona Territory (CSA)
Present Day: New Mexico",Confederate States victory,Henry Hopkins Sibley,"3,000 [1]","2,590[2]",R,,,,,,,V
436,Battle_of_Yorktown_(1862),"April 5 – May 4, 1862","York County and Newport News, Virginia",Inconclusive,John B. Magruder,"121,500[1]","35,000[2]",R,,,,,,,I
437,Battle_of_McDowell,"May 8, 1862 (1862-05-08)","Highland County, Virginia",Confederate victory,Stonewall Jackson,"6,500[1]","6,000[1]",R,,,,,,,V
438,Battle_of_Whitney's_Lane,"May 19, 1862","White County, Arkansas
35°14′46″N 91°40′33″W﻿ / ﻿35.24607547°N 91.67576911°W﻿ / 35.24607547; -91.67576911",United States victory,Samuel Ryan Curtis,"1,200","30,000",L,,,,,,,V
439,Battle_of_Whitney's_Lane,"May 19, 1862","White County, Arkansas
35°14′46″N 91°40′33″W﻿ / ﻿35.24607547°N 91.67576911°W﻿ / 35.24607547; -91.67576911",United States victory,John Selden Roane,"30,000","1,200",R,,,,,,,D
440,Battle_of_Front_Royal,"May 23, 1862 (1862-05-23)","Warren County, Virginia",Confederate victory,Stonewall Jackson,"1,063 [1]","3,000 [1]",R,,,,,,,V
441,Battle_of_Hanover_Courthouse,"May 27, 1862 (1862-05-27)","Hanover County, Virginia",Union victory,Fitz John Porter,"4,000[1]","12,000[1]",L,,,,,,,V
442,Siege_of_Corinth,"April 29, 1862 (1862-04-29) – May 30, 1862 (1862-05-30)[1]","Corinth, Mississippi
34°56′02″N 88°31′19″W﻿ / ﻿34.934°N 88.522°W﻿ / 34.934; -88.522Coordinates: 34°56′02″N 88°31′19″W﻿ / ﻿34.934°N 88.522°W﻿ / 34.934; -88.522",Union victory,Henry Halleck,"65,000","120,000",L,,,,,,,V
443,Siege_of_Corinth,"April 29, 1862 (1862-04-29) – May 30, 1862 (1862-05-30)[1]","Corinth, Mississippi
34°56′02″N 88°31′19″W﻿ / ﻿34.934°N 88.522°W﻿ / 34.934; -88.522Coordinates: 34°56′02″N 88°31′19″W﻿ / ﻿34.934°N 88.522°W﻿ / 34.934; -88.522",Union victory,P. G. T. Beauregard,"120,000","65,000",R,,,,,,,D
444,Battle_of_Secessionville,"June 16, 1862 (1862-06-16)","Charleston, South Carolina
32°42′14″N 79°56′53″W﻿ / ﻿32.70389°N 79.94806°W﻿ / 32.70389; -79.94806Coordinates: 32°42′14″N 79°56′53″W﻿ / ﻿32.70389°N 79.94806°W﻿ / 32.70389; -79.94806",Confederate victory,Nathan George Evans,"6,600","2,000",R,,,,,,,V
445,Battle_of_Oak_Grove,"June 25, 1862 (1862-06-25)","Henrico County, Virginia
37°30′55″N 77°19′45″W﻿ / ﻿37.5154°N 77.3292°W﻿ / 37.5154; -77.3292Coordinates: 37°30′55″N 77°19′45″W﻿ / ﻿37.5154°N 77.3292°W﻿ / 37.5154; -77.3292",Inconclusive,Robert E. Lee,3 Brigades,1 Division,R,,,,,,,D
446,Battle_of_Savage's_Station,"June 29, 1862 (1862-06-29)","Henrico County, Virginia
37°31′20″N 77°16′15″W﻿ / ﻿37.52219°N 77.27097°W﻿ / 37.52219; -77.27097Coordinates: 37°31′20″N 77°16′15″W﻿ / ﻿37.52219°N 77.27097°W﻿ / 37.52219; -77.27097",Inconclusive,Edwin Vose Sumner,"14,000[1]","26,600[1]",L,,,,,,,I
447,Battle_of_Hill's_Plantation,"July 7, 1862 (1862-07-07)","Woodruff County, Arkansas",United States victory,Charles Edward Hovey,"5,000",400,L,,,,,,,V
448,Battle_of_Hill's_Plantation,"July 7, 1862 (1862-07-07)","Woodruff County, Arkansas",United States victory,Thomas C. Hindman,400,"5,000",R,,,,,,,D
449,Battle_of_Murfreesboro_I,"July 13, 1862 (1862-07-13)","Rutherford County, Tennessee",Confederate victory,Thomas Turpin Crittenden,"1,400",900,L,,,,,,,D
450,Battle_of_Murfreesboro_I,"July 13, 1862 (1862-07-13)","Rutherford County, Tennessee",Confederate victory,Nathan Bedford Forrest,900,"1,400",R,,,,,,,V
451,Battle_of_Baton_Rouge_(1862),"August 5, 1862 (1862-08-05)","Baton Rouge, Louisiana",Union victory,Thomas Williams (general),"2,600","2,500",L,,,,,,,V
452,Battle_of_Baton_Rouge_(1862),"August 5, 1862 (1862-08-05)","Baton Rouge, Louisiana",Union victory,John C. Breckinridge,"2,500","2,600",R,,,,,,,D
453,Battle_of_Kirksville,"August 6, 1862 (1862-08-06)","Adair County, Missouri",Union victory,Joseph C. Porter,"1,000[1]","2,500[1]",R,,,,,,,D
454,Battle_of_Lone_Jack,"August 15–16, 1862","Jackson County,
near Lone Jack, Missouri
Coordinates: 38°52′14″N 94°11′17″W﻿ / ﻿38.87056°N 94.18806°W﻿ / 38.87056; -94.18806",Confederate victory,Emory S. Foster,"1,500–3,000",800,L,,,,,,,D
455,Battle_of_Lone_Jack,"August 15–16, 1862","Jackson County,
near Lone Jack, Missouri
Coordinates: 38°52′14″N 94°11′17″W﻿ / ﻿38.87056°N 94.18806°W﻿ / 38.87056; -94.18806",Confederate victory,Jeremiah V. Cockrell,800,"1,500–3,000",R,,,,,,,V
456,Battle_of_Thoroughfare_Gap,"August 28, 1862 (1862-08-28)","Fauquier County and Prince William County, Virginia
38°50′N 77°43′W﻿ / ﻿38.83°N 77.72°W﻿ / 38.83; -77.72",Confederate victory,James B. Ricketts,"28,000","5,000",L,,,,,,,D
457,Battle_of_Thoroughfare_Gap,"August 28, 1862 (1862-08-28)","Fauquier County and Prince William County, Virginia
38°50′N 77°43′W﻿ / ﻿38.83°N 77.72°W﻿ / 38.83; -77.72",Confederate victory,James Longstreet,"5,000","28,000",R,,,,,,,V
458,Battle_of_Richmond,"August 29–30, 1862","Madison County,
near Richmond, Kentucky
Coordinates: 37°41′05″N 84°15′34″W﻿ / ﻿37.6848°N 84.2594°W﻿ / 37.6848; -84.2594",Confederate victory,Edmund Kirby Smith,"6,850[1]","6,500[1]",R,,,,,,,V
459,Battle_of_Chantilly,"September 1, 1862 (1862-09-01)","Fairfax County, Virginia",Inconclusive,Philip Kearny,"20,000[1]","6,000[1]",L,,,,,,,I
460,Battle_of_Chantilly,"September 1, 1862 (1862-09-01)","Fairfax County, Virginia",Inconclusive,Stonewall Jackson,"6,000[1]","20,000[1]",R,,,,,,,I
461,Battle_of_Mile_Hill,"September 2, 1862","Loudoun County, Virginia
39°08′N 77°33′W﻿ / ﻿39.14°N 77.55°W﻿ / 39.14; -77.55",Confederate victory,Samuel C. Means,163,180,L,,,,,,,D
462,Battle_of_South_Mountain,"September 14, 1862","Frederick County and Washington County,
near Boonsboro, Maryland
39°29′06″N 77°37′18″W﻿ / ﻿39.48501°N 77.62161°W﻿ / 39.48501; -77.62161Coordinates: 39°29′06″N 77°37′18″W﻿ / ﻿39.48501°N 77.62161°W﻿ / 39.48501; -77.62161",Union victory,George B. McClellan,"18,000","28,000",L,,,,,,,V
463,Battle_of_South_Mountain,"September 14, 1862","Frederick County and Washington County,
near Boonsboro, Maryland
39°29′06″N 77°37′18″W﻿ / ﻿39.48501°N 77.62161°W﻿ / 39.48501; -77.62161Coordinates: 39°29′06″N 77°37′18″W﻿ / ﻿39.48501°N 77.62161°W﻿ / 39.48501; -77.62161",Union victory,Robert E. Lee,"28,000","18,000",R,,,,,,,D
464,Battle_of_Harpers_Ferry,"September 12, 1862 (1862-09-12)–September 15, 1862 (1862-09-15)","Jefferson County, West Virginia, Loudoun County, Virginia,
and Washington County, Maryland",Confederate victory,Dixon S. Miles,"21,000–26,000[1]","14,000[1]",L,,,,,,,D
465,First_Battle_of_Newtonia,"September 30, 1862 (1862-09-30)","Newtonia, Missouri",Confederate victory,Douglas H. Cooper,"1,500 [1]",1 brigade,R,,,,,,,V
466,Battle_of_Perryville,"October 8, 1862 (1862-10-08)","Boyle County, Kentucky
37°40′31″N 84°58′16″W﻿ / ﻿37.67528°N 84.97111°W﻿ / 37.67528; -84.97111Coordinates: 37°40′31″N 84°58′16″W﻿ / ﻿37.67528°N 84.97111°W﻿ / 37.67528; -84.97111",Union strategic victory[1],Braxton Bragg,"55,000[3]
(22,000 engaged)[4]","16,000[5]",R,,,,,,,D
467,Battle_of_Clark's_Mill,"November 7, 1862 (1862-11-07)","Douglas County, Missouri",Confederate victory,Hiram E. Barstow,"1,000",100,L,,,,,,,D
468,Battle_of_Clark's_Mill,"November 7, 1862 (1862-11-07)","Douglas County, Missouri",Confederate victory,Colton Greene,100,"1,000",R,,,,,,,V
469,Battle_of_Cane_Hill,"November 28, 1862 (1862-11-28)","Washington County, Arkansas",Confederate tactical victory,James G. Blunt,"2,000","5,000",L,,,,,,,D
470,Battle_of_Cane_Hill,"November 28, 1862 (1862-11-28)","Washington County, Arkansas",Confederate tactical victory,John S. Marmaduke,"5,000","2,000",R,,,,,,,V
471,Battle_of_Hartsville,"December 7, 1862 (1862-12-07)","Hartsville, Tennessee",Confederate victory,John Hunt Morgan,"2,400[1]","1,300[1]",R,,,,,,,V
472,Battle_of_Kinston,"December 14, 1862 (1862-12-14)","Lenoir County, North Carolina",Union victory,John G. Foster,"4,000","10,000",L,,,,,,,V
473,Battle_of_Kinston,"December 14, 1862 (1862-12-14)","Lenoir County, North Carolina",Union victory,Nathan George Evans,"10,000","4,000",R,,,,,,,D
474,Battle_of_White_Hall,"December 16, 1862 (1862-12-16)","Wayne County, North Carolina",Draw,John G. Foster,212,"30,000",L,,,,,,,I
475,Battle_of_Jackson_(TN),"December 19, 1862 (1862-12-19)","Jackson, Tennessee",Confederate victory,Adolph Englemann,400 cavalry,Unknown,L,,,,,,,D
476,Battle_of_Parker's_Cross_Roads,"December 31, 1862 (1862-12-31)","Henderson County, Tennessee",Confederate victory[citation needed],Jeremiah C. Sullivan,"1,800","3,000",L,,,,,,,D
477,Battle_of_Parker's_Cross_Roads,"December 31, 1862 (1862-12-31)","Henderson County, Tennessee",Confederate victory[citation needed],Nathan Bedford Forrest,"3,000","1,800",R,,,,,,,V
478,Battle_of_Dover_(1863),"February 3, 1863 (1863-02-03)","Stewart County, Tennessee",Union victory,Abner C. Harding,"2,500",800,L,,,,,,,V
479,Battle_of_Dover_(1863),"February 3, 1863 (1863-02-03)","Stewart County, Tennessee",Union victory,Joseph Wheeler,800,"2,500",R,,,,,,,D
480,Battle_of_Staszów,17 February 1863,Staszów,Indecisive,Marian Langiewicz,unknown,600,L,,,,,,,I
481,Battle_of_Staszów,17 February 1863,Staszów,Indecisive,Zagriashko,600,unknown,R,,,,,,,I
482,Battle_of_Małogoszcz,24 February 1863,Małogoszcz,Indecisive,Marian Langiewicz,"3000, 6 heavy cannons","2600, 2 very small cannons",L,,,,,,,I
483,Battle_of_Małogoszcz,24 February 1863,Małogoszcz,Indecisive,Dobrowolski,"2600, 2 very small cannons","3000, 6 heavy cannons",R,,,,,,,I
484,Battle_of_Fort_Anderson,"March 13, 1863 – March 15, 1863","Craven County, North Carolina
Coordinates: 35°08′18″N 77°02′09″W﻿ / ﻿35.1383°N 77.0358°W﻿ / 35.1383; -77.0358",Union victory,Hiram Anderson,"12,000","45,000",L,,,,,,,V
485,Battle_of_Fort_Anderson,"March 13, 1863 – March 15, 1863","Craven County, North Carolina
Coordinates: 35°08′18″N 77°02′09″W﻿ / ﻿35.1383°N 77.0358°W﻿ / 35.1383; -77.0358",Union victory,Daniel Harvey Hill,"45,000","12,000",R,,,,,,,D
486,Battle_of_Washington,"March 30, 1863 (1863-03-30) – April 20, 1863 (1863-04-20)[2]","Beaufort County, North Carolina",Inconclusive [3],Daniel Harvey Hill,"6 regiments
artillery units",1 Division,R,,,,,,,I
487,Grierson's_Raid,"April 17, 1863 (1863-04-17) – May 2, 1863 (1863-05-02)","Start: La Grange, Tennessee
End: Baton Rouge, Louisiana",Union victory,William Wirt Adams,3 regiments,unknown,R,,,,,,,D
488,Battle_of_Cape_Girardeau,"April 26, 1863 (1863-04-26)","Cape Girardeau County, Missouri",(Union),John McNeil,"5,000","4,000",L,,,,,,,V
489,Battle_of_Cape_Girardeau,"April 26, 1863 (1863-04-26)","Cape Girardeau County, Missouri",(Union),John S. Marmaduke,"4,000","5,000",R,,,,,,,D
490,Battle_of_Day's_Gap,"April 30, 1863 (1863-04-30)","Cullman County, Alabama
34°18′34.56″N 87°00′39.6″W﻿ / ﻿34.3096000°N 87.011000°W﻿ / 34.3096000; -87.011000",Union victory[1],Abel Streight,600,"1,500",L,,,,,,,V
491,Battle_of_Day's_Gap,"April 30, 1863 (1863-04-30)","Cullman County, Alabama
34°18′34.56″N 87°00′39.6″W﻿ / ﻿34.3096000°N 87.011000°W﻿ / 34.3096000; -87.011000",Union victory[1],Nathan Bedford Forrest,"1,500",600,R,,,,,,,D
492,Battle_of_Camarón,30 April 1863,"Camarón, near Palo Verde, Mexico","Tactical Mexican victory
Strategic French victory",Francisco de Paula Milán,"3 Foreign Legion Officers
62 Legionnaires","800 cavalry
2,200 infantry",L,,,,,,,V
494,Battle_of_Camarón,30 April 1863,"Camarón, near Palo Verde, Mexico","Tactical Mexican victory
Strategic French victory",Jean Danjou,"800 cavalry
2,200 infantry","3 Foreign Legion Officers
62 Legionnaires",R,,,,,,,D
497,Battle_of_Chalk_Bluff,"May 1, 1863 (1863-05-01)– May 2, 1863 (1863-05-02)","Dunklin County, Missouri,
and Clay County, Arkansas","Tactical Confederate victory
Strategic Union victory[1]",William Vandever,"2,000","10,000",L,,,,,,,D
499,Battle_of_Chalk_Bluff,"May 1, 1863 (1863-05-01)– May 2, 1863 (1863-05-02)","Dunklin County, Missouri,
and Clay County, Arkansas","Tactical Confederate victory
Strategic Union victory[1]",John S. Marmaduke,"10,000","2,000",R,,,,,,,V
500,Battle_of_Fredericksburg_II,"May 3, 1863 (1863-05-03)","Fredericksburg, Virginia",Union victory,Jubal Early,"27,100[1]","12,000[2]",R,,,,,,,D
501,Battle_of_Salem_Church,"May 3, 1863 (1863-05-03) – May 4, 1863 (1863-05-04)","Spotsylvania County, Virginia",Confederate victory,Robert E. Lee,"23,000[1]","10,000[2]",R,,,,,,,V
502,Battle_of_Raymond,"May 12, 1863 (1863-05-12)","Hinds County,
near Raymond, Mississippi",Union victory,James B. McPherson,"4,400","12,000[1]",L,,,,,,,V
503,Battle_of_Big_Black_River_Bridge,"May 17, 1863 (1863-05-17)","Hinds County, Mississippi",Union victory,John Alexander McClernand,"5,000[1]",,L,,,,,,,V
505,Battle_of_Brandy_Station,"June 9, 1863 (1863-06-09)","Culpeper County, Virginia","Inconclusive[1]
Confederate tactical victory
Union morale victory",Alfred Pleasonton,"9,500","11,000",L,,,,,,,I
506,Battle_of_Aldie,"June 17, 1863 (1863-06-17)","Loudoun County, Virginia
38°58′57″N 77°39′32″W﻿ / ﻿38.9826°N 77.6588°W﻿ / 38.9826; -77.6588",Inconclusive[1],Hugh Judson Kilpatrick,"1,500","2,000",L,,,,,,,I
507,Battle_of_Middleburg,"June 17, 1863 (1863-06-17) – June 19, 1863 (1863-06-19)","Loudoun County, Virginia",Inconclusive,David McMurtrie Gregg,Divisions,Divisions,L,,,,,,,I
508,Battle_of_Middleburg,"June 17, 1863 (1863-06-17) – June 19, 1863 (1863-06-19)","Loudoun County, Virginia",Inconclusive,J. E. B. Stuart,Divisions,Divisions,R,,,,,,,I
509,Battle_of_Hanover,"June 30, 1863 (1863-06-30)","Hanover, Pennsylvania",Inconclusive[1],Hugh Judson Kilpatrick,"∼ 6,000","∼ 5,000",L,,,,,,,I
510,Battle_of_Williamsport,"July 6–16, 1863","Washington County, Maryland
Coordinates: 39°38′N 77°43′W﻿ / ﻿39.633°N 77.717°W﻿ / 39.633; -77.717",Inconclusive,George Meade,Divisions,Divisions,L,,,,,,,I
511,Battle_of_Williamsport,"July 6–16, 1863","Washington County, Maryland
Coordinates: 39°38′N 77°43′W﻿ / ﻿39.633°N 77.717°W﻿ / 39.633; -77.717",Inconclusive,Robert E. Lee,Divisions,Divisions,R,,,,,,,I
512,Battle_of_Honey_Springs,"July 17, 1863 (1863-07-17)","Muskogee County, Oklahoma and McIntosh County, Oklahoma",Union victory,James G. Blunt,"6,000","3,000",L,,,,,,,V
513,Battle_of_Honey_Springs,"July 17, 1863 (1863-07-17)","Muskogee County, Oklahoma and McIntosh County, Oklahoma",Union victory,Douglas H. Cooper,"3,000","6,000",R,,,,,,,D
