,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken,VorD
5483,Battle_of_Zhejiang-Jiangxi,Mid May - Early September 1942,"Vicinity of Zhejiang, Jiangxi","Tactical Japanese victory
Strategic Chinese victory",Gu Zhutong,"36,000[1]","180,000","300,000",L,"70,000",
5538,Convoy_PQ-17,27 June–10 July 1942,Arctic Ocean,"German victory, temporary Allied suspension of Arctic convoys.",Commodore (rank),5 aircraft,"1 battleship (in port),
U-boats,
(boats with kills:)
U-88, U-251, U-255,
U-334, U-355, U-376,
U-456, U-457, U-703
33 torpedo aircraft,
6 bombers.
(Flying over 200 sorties)","6 destroyers,
2 anti-aircraft ships,
2 submarines,
11 smaller craft,
35 merchant ships
6 auxiliary ships[1]",L,"24 merchant ships sunk,
153 merchant mariners killed",
5545,Battle_of_Sevastopol,30 October 1941 – 4 July 1942,"Sevastopol, Russian SFSR, Soviet Union
44°36′17″N 33°32′28″E﻿ / ﻿44.60472°N 33.54111°E﻿ / 44.60472; 33.54111Coordinates: 44°36′17″N 33°32′28″E﻿ / ﻿44.60472°N 33.54111°E﻿ / 44.60472; 33.54111",Axis victory,Wolfram Freiherr von Richthofen,"June–July 1942:
95,000 captured (one-third wounded)
5,000 wounded
at least 18,000 killed[3]","June 1942:
118,000 men
600 guns and howitzers
2,000 mortars[2]","On 6 June 1942:
203,800 men
1,300 guns and howitzers
720 mortars
600 aircraft[1]",L,"June–July 1942:[3]
35,866 men
78 guns
 27,412

4,264 killed
21,626 wounded
1,522 missing

 8,454

1,597 killed
6,571 wounded
277 missing",
5550,Battle_of_Stalingrad,"23 August 1942 – 2 February 1943
(5 months, 1 week and 3 days)","Stalingrad, Russian SFSR, Soviet Union
48°42′N 44°31′E﻿ / ﻿48.700°N 44.517°E﻿ / 48.700; 44.517Coordinates: 48°42′N 44°31′E﻿ / ﻿48.700°N 44.517°E﻿ / 48.700; 44.517","Decisive[1] Soviet victory

Destruction of the German 6th Army
Expulsion of the Germans from the Caucasus, reversing their gains from the 1942 Summer Campaign",Friedrich Paulus,"1,129,619 men
478,741 killed and missing
650,878 wounded or sick

2,769 aircraft
4,341 tanks
15,728 guns


See casualties section","Initial:


187,000 personnel
2,200 artillery pieces
400 tanks
300 aircraft[2]:72


At the time of the Soviet counteroffensive:


1,143,000[7]
13,451 artillery pieces
894 tanks[7]
1,115[5]:224 aircraft","Initial:


270,000 personnel
3,000 artillery pieces
500 tanks
600 aircraft, 1,600 by mid-September (Luftflotte 4)[Note 3][2]


At the time of the Soviet counter-offensive:


c. 1,040,000 men (400,000+ Germans, 220,000 Italians, 200,000 Hungarians, 143,296 Romanians, 40,000 Hiwi)[3][4]
10,250 artillery pieces
500 tanks
732 (402 operational) aircraft[5]:225[6]:87",L,"728,000 men
 400,000
 114,000
 109,000
 105,000

900 aircraft
1,500 tanks
6,000 guns


See casualties section",
5567,Battle_of_Savo_Island,"August 8–9, 1942","Vicinity of Savo Island, Solomon Islands
9°8′0″S 159°49′0″E﻿ / ﻿9.13333°S 159.81667°E﻿ / -9.13333; 159.81667﻿ (Savo Island)Coordinates: 9°8′0″S 159°49′0″E﻿ / ﻿9.13333°S 159.81667°E﻿ / -9.13333; 159.81667﻿ (Savo Island)",Japanese victory,United States Navy,"3 cruisers lightly damaged,
129 killed[1]:117[3]","5 heavy cruisers,
2 light cruisers,
1 destroyer[1]:100","6 heavy cruisers,
2 light cruisers,
15 destroyers[1]:100–1",L,"3 heavy cruisers sunk,
1 heavy cruiser heavily damaged (later scuttled),
2 destroyers damaged,
1,077 killed[1]:121[2]",
5588,Second_Battle_of_El_Alamein,23 October – 11 November 1942,"El Alamein, Egypt",Decisive Allied victory,Erwin Rommel,"13,560 men (4,810 killed or missing, 8,950 wounded)
332–c. 500 tanks
111 guns
77 British and 20 US aircraft[11]","195,000 men[4]
1,029 tanks[e]
435 armoured cars[4]
730[f] – 750 aircraft (530 serviceable)[g]
892[8] – 908 artillery pieces[4]
1,451 anti-tank guns[4][h]","116,000 men[3][a]
547 tanks[b]
192 armoured cars[4]
770[6] – 900 aircraft (480 serviceable)[c]
552 artillery pieces[8]
496 anti-tank guns[d] – 1,063[8]",L,"36,939 to 59,000 men (9,000 killed or missing, 15,000 wounded, 35,000 prisoners)
c. 500 tanks
254 guns
64 German and 20 Italian aircraft",
5598,Operation_Torch,8–16 November 1942,French Morocco and French Algeria,"Decisive Allied victory[1]

Anglo-American occupation of Morocco and Algeria
Free France gains control of French West Africa
German and Italian occupation of southern France and scuttling of the French fleet
Run for Tunis",Dwight D. Eisenhower,"France:
1,346+ dead
1,997 wounded
several shore batteries destroyed
all artillery pieces captured
1 light cruiser lost
5 destroyers lost
6 submarines lost
2 flotilla leaders lost
Germany: 8 submarines lost by 17 November","Ground forces:
210 tanks
500 aircraft
many shore batteries and artillery pieces
Naval activity:
1 battleship (partially armed)
10 other warships
11 submarines
Germany: 11 submarines
Italy: 2 submarines","Ground forces: 107,000 troops
33,000 in Morocco
39,000 near Algiers
35,000 near Oran
Naval activity:
350 warships
500 transports
Total: 850",L,"US:
526 dead
UK:
574 dead
All Other Allies:
756 total wounded[2]
1 escort carrier (HMS Avenger (D14)) sunk with loss of 516 men
4 destroyers lost
2 sloops lost
6 troopships lost
1 minesweeper lost
1 auxiliary anti-aircraft ship lost",
5626,Battle_of_Neretva,20 January – March 1943,"West Bosnia, and then vicinity of the Neretva river, Herzegovina, occupied Yugoslavia","Partisan retreat with heavy losses, Chetnik defeat, Axis failure to achieve strategic goals",Alexander Löhr,"11,915–12,000 killed, 616 executed, 2,099–2,506 captured (German claim)[1][3]
10,000 killed, wounded and missing and 2,000 captured (Yugoslav claim)[2]","Unknown
(about 20,000 men)","90,000 men
12 air squadrons

12,000–15,000 Chetniks",L,"German casualties:
514–583 killed, 1,214–1,642 wounded, 145–158 missing[1][2]
Italian casualties:
1,605 killed, 983 captured[2]
Croatian casualties:
126 killed, 258 wounded, 218 missing[2]

Chetnik casualties:
2,000–3,000[2]

Total Axis casualties:
7,000–8,600",
5676,Third_Battle_of_Kharkov,19 February  – 15 March 1943,"Kharkov, Ukrainian SSR, Soviet Union
49°58′0″N 36°19′0″E﻿ / ﻿49.96667°N 36.31667°E﻿ / 49.96667; 36.31667Coordinates: 49°58′0″N 36°19′0″E﻿ / ﻿49.96667°N 36.31667°E﻿ / 49.96667; 36.31667",German victory,Vasily Koptsov,"~11,500 overall
~4,500 KIA and MIA[3]
~7,000 wounded[3]","Involved in the offense on Kharkov: 70,000 [2]","Involved in the defense of Kharkov: 346,000 [1]",L,"86,469 overall
45,219 killed
41,250 wounded[1]",
5696,Battle_of_West_Hubei,12 May - 3 June 1943,West Hubei,"Tactical draw
Strategic Chinese victory",Chen Cheng,"25,830 troops",7 divisions,14 armies,L,"60,000 troops",
5742,Battle_of_Kursk,"5 July 1943 (1943-07-05) – 16 July 1943 (1943-07-16) (German offensive: 1 week and 4 days)
12 July 1943 (1943-07-12) – 23 August 1943 (1943-08-23) (Soviet offensive: 1 month, 1 week and 4 days)","Kursk, Kursk Oblast, Russian SFSR, Soviet Union","Decisive Soviet victory[a][1]

Axis loses ability to initiate strategic offensive operations
The Soviet Red Army gains the initiative over the German Wehrmacht",Erich von Manstein,"Operation Citadel:[e]


177,847 men[19][10]
1,614[20] – 1,956[21] tanks and assault guns destroyed
459[22] aircraft



~ 1,000 aircraft[23]


Battle of Kursk:[g]


254,470 killed, missing or captured
608,833 wounded or sick[24][i]
Total 863,000 men
6,064 tanks and assault guns destroyed or damaged[25][j]
1,626[22] – 1,961 aircraft[21]
5,244 guns[22]","Operation Citadel:


1,910,361 men[6]
5,128 tanks[6]
25,013 guns and mortars[3]





Soviet counteroffensive phase:


2,500,000 men[6]
7,360 tanks[6]
47,416 guns and mortars[4]





2,792[7][c] to 3,549[8][d] aircraft","Operation Citadel:


780,900 men[2]
2,928 tanks[2]
9,966 guns and mortars[3]





Soviet counteroffensive phase:


940,900 men[2]
3,253 tanks[2]
9,467 guns and mortars[4]





2,110 aircraft[5]",L,"Operation Citadel:[e]


54,182 men[9][f][10]
323 tanks and assault guns destroyed,[11]
Between 600[12] - 1,612 tanks and assault guns damaged[13][14]
159 aircraft[9][15]
c. 500 guns[9]





Battle of Kursk:[g]


Aproximatelly 50,000 killed or missing and 134,000 wounded (per German military medical data)[16]
Estimate 760 tanks and assault guns destroyed[17]
681 aircraft (for 5–31 July)[18][h]",
5789,Battle_of_Cisterna,30 January-2 February 1944,"Cisterna, Anzio beachhead, Italy",German victory,Mark W. Clark,400 Casualties[3],unknown,unknown,L,"761 Casualties
Of which: 311 killed & 450 POWs[3]",
5814,Kamenets-Podolsky_pocket,25 March–8 April 1944,"Kamianets-Podilskyi / Tarnopol, USSR",Successful German withdrawal,Erich von Manstein,"50,000+
399 tanks and assault guns
280 guns","500,000 men","220,000 men
43 tanks
50 assault guns",L,"14,242 men

2,311 killed
3,567 missing
8,364 wounded",
5830,Operation_Overlord,6 June – 30 August 1944,Northern France,Allied victory,Dwight D. Eisenhower,"400,000 casualties[14] to 530,000+ killed or captured[15]
2,127 aircraft[16]
~2,200–2,400 tanks and assault guns lost[10]","380,000 troops (by 23 July)[8] – 1,000,000 (by the end of August)[9]
2,200[9] – 2,500 tanks and assault guns[10][11]","1,452,000 troops (by 25 July)[a]
2,052,299 (by the end of August)[7]",L,"225,606 to 226,386 casualties
4,101 aircraft[12]
~4,000 tanks[13]",
5850,Battle_of_Philippine_Sea,"June 19–20, 1944",The Philippine Sea,Decisive American victory[1],Raymond A. Spruance,"3 fleet carriers sunk
(Taihō, Shōkaku, Hiyō)
2 oilers sunk
550–645 aircraft destroyed[2]
6 other ships damaged
2,987 dead (estimate)","90 warships:
5 fleet carriers
4 light carriers
5 battleships
13 heavy cruisers
6 light cruisers
27 destroyers
24 submarines
6 oilers

~450 carrier aircraft
~300 land-based aircraft","129 warships:
7 fleet carriers
8 light fleet carriers
7 battleships
8 heavy cruisers
13 light cruisers
58 destroyers
28 submarines


956 carrier aircraft",L,"1 battleship damaged
123 aircraft destroyed[2]
109 dead",
5854,Operation_Bagration,22 June – 19 August 1944,"Soviet Union (present day Belarus, Baltic states), Ukraine, and eastern Poland",Soviet victory,Ernst Busch (field marshal),"Glantz and House:
180,000 killed or missing
340,000–590,848 wounded and sick
770,888 overall[11][12]

2,957 tanks and assault guns[13]
2,447 guns[14]
822 aircraft[14]","In total:
Glantz and House:[5]
1,670,300 personnel
5,818 tanks
32,968 guns and mortars
7,790 aircraft
Frieser:
2,331,700 Soviets
(excluding reinforcements)
79,900 Poles
2,715 tanks[3]
1,355 assault guns[3]
24,363 guns[3]
5,327 aircraft[6]","Initial: 486,493 ""daily strength""[1][2]
644,396 ""actual strength""[2]
118 tanks[3]
377 assault guns[3]
2,589 guns[3]
602 aircraft[3]
In total:[4]
1,036,760 personnel
800 tanks, 530 assault guns
10,090 guns
1,000–1,300 aircraft",L,"c. 300,000–550,000
Glantz and House:[5]
450,000 casualties
Frieser:
26,397 killed
109,776 wounded
262,929 missing and captured
399,102 overall[details][7]
Zaloga:
150,000–225,000 killed or missing (excluding 150,000 captured)[8]
Isayev:
500,000 casualties[9]
Soviet sources:[10]
381,000 killed
158,480 captured",
5888,Warsaw_Uprising,"1 August – 2 October 1944
(63 days)","Warsaw, Poland
52°13′48″N 21°00′39″E﻿ / ﻿52.23000°N 21.01083°E﻿ / 52.23000; 21.01083Coordinates: 52°13′48″N 21°00′39″E﻿ / ﻿52.23000°N 21.01083°E﻿ / 52.23000; 21.01083","German victory
Destruction of the city",Tadeusz Pełczyński,"German forces:
2,000-17,000 killed and missing[7]
9,000 WIA[7]
310 tanks and armoured vehicles, 340 trucks and cars, 22 artillery pieces, 4 rocket launchers, 3 aircraft[7]

Total casualties: 25,000","Range 13,000[5] to 25,000[6] (initially)","Range 20,000[3] to 49,000[4] (initially)",L,"Polish resistance:
15,200 killed and missing[7]
5,000 WIA[7]
15,000 POW[7]


Berling 1st Army: 5,660 casualties[7]

Total casualties: 25,860",
5917,Liberation_of_Paris,19–25 August 1944,"Paris and outskirts, France","Allied victory

Capture and liberation of Paris
Paris made capital of the re-established Provisional Government of the French Republic",Philippe Leclerc de Hauteclocque,"3,200 dead
12,800 prisoners[1]",unknown,unknown,L,"French Resistance:
1,600 dead[1]
Free French Forces:
130 dead
319 wounded[2]
United States: Unknown[3]",
5933,Tanne_Ost,"September 15, 1944","Suursaari (Gogland), Gulf of Finland",Finnish victory,Captain (armed forces),"36 KIA
67 WIA
8 MIA
2 patrol boats (VMV 10 & VMV 14)
 2 Il-2 and 1 SB","1,612
10 Ilyushin Il-2 and 3 Tupolev SB","2,700",L,"153 KIA
1,231 POWs
3 landing crafts (F-822, F-866 & F-173)
3 patrol boats (B-1, B-31 & B-35)
1 minesweeper (R-29)
1 tugboat (Pernau) 2 Halftrucks, 1 light armoured car and a few trucks",
5958,Battle_of_Debrecen,6–29 October 1944,"Debrecen / Nyíregyháza, Hungary","Tactical German victory
Strategic Soviet victory",Army Group South,"Soviet: ~19,713 killed or missing and 64,297 wounded or sick[3]
Romania: 33,500 killed or wounded[nb 2]
Total: 117,360 men (including 5,073 POW)
~500 tanks lost
~1,500 guns lost","260,000","80,000",L,"Germany: ~15,000 killed or wounded
Hungary: 20,000 killed or wounded
Total: 53,000 men
(including ~18,000 POW) ~200 tanks lost
490 guns lost[1][nb 1][2]",
5967,Battle_of_the_Scheldt,"October 2 – November 8, 1944","Dutch Zeeland and northern Belgium
51°25′N 4°10′E﻿ / ﻿51.417°N 4.167°E﻿ / 51.417; 4.167Coordinates: 51°25′N 4°10′E﻿ / ﻿51.417°N 4.167°E﻿ / 51.417; 4.167","Allied victory

Antwerp opens to Allied shipping",Bernard Montgomery,"Roughly 10-12,000
41,043 captured","90,000","60,000",L,"Canadian: 6,367
Total: 12,873",
5972,Battle_of_Crucifix_Hill,8 October 1944,"50°47′57.63″N 6°8′21.9″E﻿ / ﻿50.7993417°N 6.139417°E﻿ / 50.7993417; 6.139417Coordinates: 50°47′57.63″N 6°8′21.9″E﻿ / ﻿50.7993417°N 6.139417°E﻿ / 50.7993417; 6.139417
Aachen, Germany",American victory,Gerhard Wilck,,unknown,unknown,L,,
5975,Battle_of_Aachen,2–21 October 1944,"50°46′N 6°6′E﻿ / ﻿50.767°N 6.100°E﻿ / 50.767; 6.100Coordinates: 50°46′N 6°6′E﻿ / ﻿50.767°N 6.100°E﻿ / 50.767; 6.100
Aachen, Germany",United States victory,First United States Army,"5,000 casualties
5,600 prisoners[1]","13,000 soldiers
5,000 Volkssturm","100,000 soldiers",L,"5,000 casualties[1]",
5991,Battle_of_Leyte_Gulf,23–26 October 1944,"Leyte Gulf, Philippines","Decisive Allied victory

Japanese naval capabilities crippled",United States Third Fleet,"~12,500 dead;
1 fleet carrier,
3 light carriers
3 battleships,
10 cruisers,
11 destroyers sunk
~300 planes[3]","67+ ships in total
1 fleet carrier
3 light carriers
9 battleships
14 heavy cruisers
6 light cruisers
35+ destroyers
300+ planes (including land-based aircraft)[2]","~300 ships in total[1]
8 fleet carriers
8 light carriers
18 escort carriers
12 battleships
24 cruisers
166 destroyers and destroyer escorts
Many PT boats, submarines, and fleet auxiliaries
About 1,500 planes",L,"~3,000 casualties;
1 light carrier,
2 escort carriers,
2 destroyers,
1 destroyer escort sunk
200+ planes",
6009,Battle_of_Ormoc_Bay,11 November–21 December 1944,"Camotes Sea, Philippines",American victory,Douglas MacArthur,"29 ships sunk
1 submarine sunk
1 patrol boat sunk",unknown,unknown,L,3 ships sunk,
6011,Battle_of_Monte_Castello,25 November 1944 – 21 February 1945,"Monte Castello, Italy",Allied victory/Brazilian victory,João Baptista Mascarenhas de Morais,"47 killed or wounded[1]
23 taken as POWs[1]","232nd Grenadier Division (Wehrmacht)

9,000 German soldiers","1st Expeditionary Infantry Division
 Divisionary Artillery
 Task force 45 (1st attacks)",L,"417[1]
8 taken as POWs[1]",
6017,Battle_of_the_Bulge,16 December 1944 – 25 January 1945,"The Ardennes: Belgium, Luxembourg","Allied victory

Western Allied offensive plans delayed by five or six weeks[1]
Disastrous offensive in the Ardennes exhausted the resources of Germany on the Western Front. The German collapse opened the way for the Allies ultimately to break the Siegfried Line
Soviet offensive in Poland launched on 12 January 1945, eight days earlier than originally intended.[2]",Supreme Headquarters Allied Expeditionary Force,"67,459[b] – 125,000 casualties[10][11]
(includes killed, wounded, missing, captured)
600–800+ tanks and assault guns destroyed[6][12][13]
~800 aircraft lost, over 500 in December and 280 during
Unternehmen Bodenplatte[14]","16 December
13 infantry divisions[a]
7 armored divisions
1 brigade[4]
Initial
~300,000 men
557 tanks
667 tank destroyers and assault guns
1,261 other tracked AFVs
4,224 anti-tank and artillery pieces
24 December
16 infantry divisions
8 armored divisions
1 armored brigade
2 infantry brigades
With reinforcement
~449,000 men
423 tanks
608 tank destroyers and assault guns
1,496 other tracked AFVs
4,131 anti-tank and artillery pieces
16 January
16 infantry divisions
8 armored divisions
2 infantry brigades[3]



With reinforcement
383,016 men
216 tanks
414 tank destroyers and assault guns
907 other tracked AFVs
3,256 anti-tank and artillery pieces","16 December
6 infantry divisions
2 armored divisions
Initial
228,741 men
483 tanks
499 tank destroyers and assault guns
1,921 other tracked AFVs
971 anti-tank and artillery pieces
24 December
15 infantry divisions
6 armored divisions
1 armored brigade
With reinforcement
~541,000 men
1,616 tanks
1,713 tank destroyers and assault guns
5,352 other tracked AFVs
2,408 anti-tank and artillery pieces
16 January
22 infantry divisions
8 armored divisions
2 armored brigades[3]
With reinforcement
700,520 men
4,155 artillery pieces
2,428 tanks
1,912 tank destroyers and assault guns
7,079 other tracked AFVs
3,181 anti-tank and artillery pieces
6,000 aircraft",L,"American
105,102 casualties.[5]:92
19,000 killed,
62,500 wounded,
23,500 captured or missing
700–800+ tanks, tank destroyers, and assault guns destroyed[6]
~1000 aircraft lost, over 647 in December[7] and 353 during
Unternehmen Bodenplatte[8]
 British
1,408 (200 killed, 969 wounded, and 239 missing)[9]",
